"","Scenario","Outcome","Variable","Moyenne","Ecart_type"
"1","1","Ig","Rcr","0.0961635839366194","0.0394432418512003"
"2","1","Ig","Ramox","-0.645935532469606","0.031295048995128"
"3","1","Ig","Rmacro","-0.0117003495081194","0.0483663422616546"
"4","1","Ig","ConsoAmox","0.893000167822956","0.0119028387140177"
"5","1","Ig","ConsoMacro","-0.0301329188574311","0.0545388167565477"
"6","1","Ig","pi","-0.963149382955479","0.0032241731226245"
"7","1","Ig","LambdaAge","-0.78260846628631","0.0200554591443854"
"8","1","Ig","TreatmentDuration_Amox","0.527071488450541","0.0254810736365281"
"9","1","Ig","TreatmentDuration_Macro","0.0134448009841526","0.0436743877752784"
"10","1","Ig","d2","0.0917402367882806","0.0292023854460784"
"11","1","Ig","d3","0.0439995392107291","0.0310101736290897"
"12","1","Ig","d4","-0.0124840087413036","0.0295967138901407"
"13","1","Ig","d5","0.00670264520386398","0.0310964820184383"
"14","1","Ig","d6","-0.0369684915222905","0.0357574939862309"
"15","1","Ig","d7","-0.0446338242435293","0.0319140780243162"
"16","1","Ig","d8","-0.0154245146865058","0.0333677345678974"
"17","2","Ig","Rcr","0.116744708580122","0.0365232619532219"
"18","2","Ig","Ramox","-0.708253318621073","0.0219413348555517"
"19","2","Ig","Rmacro","-0.0258285441038214","0.0415570474991438"
"20","2","Ig","ConsoAmox","0.907440182507387","0.00643531181567645"
"21","2","Ig","ConsoMacro","-0.0353709350568583","0.0448886380426194"
"22","2","Ig","pi","-0.958946525265304","0.00384049387579594"
"23","2","Ig","LambdaAge","-0.598094043094488","0.0300662511493004"
"24","2","Ig","TreatmentDuration_Amox","0.51392146224892","0.0398163912554356"
"25","2","Ig","TreatmentDuration_Macro","0.0307766583623412","0.0543579557145645"
"26","2","Ig","d2","0.103349235928215","0.0388700028686843"
"27","2","Ig","d3","0.0779313629735172","0.0360034040934218"
"28","2","Ig","d4","0.00585456895563847","0.0372997000046842"
"29","2","Ig","d5","-0.017271664071215","0.0395330864674456"
"30","2","Ig","d6","-0.0605920415582892","0.0419570294555608"
"31","2","Ig","d7","-0.0643772615605442","0.0422989291204407"
"32","2","Ig","d8","-0.0140726266346061","0.0483539086957753"
"33","3","Ig","Rcr","0.102282175582194","0.0322888662225016"
"34","3","Ig","Ramox","0.81434222483475","0.0156693168963778"
"35","3","Ig","Rmacro","-0.0536081937738323","0.0500107646566137"
"36","3","Ig","ConsoAmox","0.91379198502557","0.00836651606857253"
"37","3","Ig","ConsoMacro","-0.0381291946754366","0.0484923156382803"
"38","3","Ig","pi","-0.913857537526548","0.00728074175276358"
"39","3","Ig","LambdaAge","-0.580484678450873","0.0217297721459569"
"40","3","Ig","TreatmentDuration_Amox","0.720844825359543","0.0195875047032941"
"41","3","Ig","TreatmentDuration_Macro","0.0681067521353185","0.0487644410604715"
"42","3","Ig","d2","-0.0570174241839543","0.0449241971688392"
"43","3","Ig","d3","0.417433778845151","0.0321614328954138"
"44","3","Ig","d4","-0.0130117515630561","0.0367720539356584"
"45","3","Ig","d5","-0.143233145687821","0.042969328670608"
"46","3","Ig","d6","-0.162830403329718","0.0397930842374"
"47","3","Ig","d7","-0.145203905630424","0.0511403103687878"
"48","3","Ig","d8","-0.0422740689916452","0.0468195958798513"
"49","4","Ig","Rcr","-0.351521582378728","0.0396480533403083"
"50","4","Ig","Ramox","-0.888575037096524","0.0151631808154355"
"51","4","Ig","Rmacro","0.862185780499928","0.0111119276877119"
"52","4","Ig","ConsoAmox","-0.0731509764868258","0.0357657004258026"
"53","4","Ig","ConsoMacro","-0.00294886449146016","0.0461595745621798"
"54","4","Ig","pi","0.243720939389862","0.0298849293038224"
"55","4","Ig","LambdaAge","0.264432650074855","0.0498922115986609"
"56","4","Ig","TreatmentDuration_Amox","0.746868194842125","0.0257075827860889"
"57","4","Ig","TreatmentDuration_Macro","-0.841227869874859","0.0162257514215401"
"58","4","Ig","d2","0.147761574514968","0.0322547386160682"
"59","4","Ig","d3","0.129946212137732","0.0394139680175181"
"60","4","Ig","d4","0.0261615406781672","0.0351068762560061"
"61","4","Ig","d5","-0.0235341214551051","0.0415305370431338"
"62","4","Ig","d6","-0.0557427495700096","0.0337279476689561"
"63","4","Ig","d7","-0.0468370070480716","0.0368284024336425"
"64","4","Ig","d8","0.0435469839601558","0.0445851851691591"
"65","1","PropAns","Rcr","0.0147577819525616","0.0332400639357432"
"66","1","PropAns","Ramox","0.901007214628972","0.00981878723479203"
"67","1","PropAns","Rmacro","0.0169484735305766","0.039212400518438"
"68","1","PropAns","ConsoAmox","-0.940610310866536","0.00448342894177342"
"69","1","PropAns","ConsoMacro","-0.00738930804234641","0.0548103930136916"
"70","1","PropAns","pi","-0.673325628888131","0.0246364412954867"
"71","1","PropAns","LambdaAge","-0.582987120358411","0.021959919085778"
"72","1","PropAns","TreatmentDuration_Amox","-0.708226793896827","0.0259093345602212"
"73","1","PropAns","TreatmentDuration_Macro","-0.0399205229419741","0.0512734014726177"
"74","1","PropAns","d2","0.222733142110584","0.0467595041163401"
"75","1","PropAns","d3","0.214055100416031","0.0492316791184562"
"76","1","PropAns","d4","-0.0321247287965437","0.0443267313674556"
"77","1","PropAns","d5","-0.168622047939606","0.0520485001423603"
"78","1","PropAns","d6","-0.111488031374258","0.0384781286570391"
"79","1","PropAns","d7","-0.123475874370935","0.0484393676466979"
"80","1","PropAns","d8","-0.0790479932255098","0.0453378279310104"
"81","2","PropAns","Rcr","0.0420440225003739","0.0435572567334261"
"82","2","PropAns","Ramox","0.849497199921057","0.0175177475299024"
