"","t","Rcr","Pen_S","Pen_I","Pen_R","Macro_S","Macro_R","Multi_S","Multi_R","Totcarrier_T","Cross_T","Reduction","Scenario","Lambda","pi"
"40261",365,0.58,0.49287155906461,0.445352733269294,0.0617757076660961,0.679320356233248,0.320679643766752,0.466385265859155,0.294193350561296,0.492663300141046,0.580116055054339,3,3,0.0231458790132901,0.483004713815692
"40271",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.483004713815692,0.58,4,3,0.0231458790132901,0.483004713815692
"43921",365,0.58,0.447876847975359,0.496498028168929,0.0556251238557117,0.655733147153191,0.344266852846809,0.423805578855021,0.320195583726471,0.499550722792493,0.579935078890118,4,3,0.0231458790132901,0.483004713815692
"43931",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.483004713815692,0.58,1,4,0.0231458790132901,0.483004713815692
"47581",365,0.58,0.561695296743858,0.367104657719517,0.0712000455366256,0.715428324437599,0.284571675562401,0.53151546519068,0.254391844009224,0.483026153084268,0.580399530553426,1,4,0.0231458790132901,0.483004713815692
"47591",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.483004713815692,0.58,2,4,0.0231458790132901,0.483004713815692
"51241",365,0.58,0.576450618495724,0.360878429536071,0.0626709519682055,0.69214493653134,0.307855063468661,0.537744274637523,0.269148719610459,0.481994884724754,0.635460069979448,2,4,0.0231458790132901,0.483004713815692
"51251",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.483004713815692,0.58,3,4,0.0231458790132901,0.483004713815692
"54901",365,0.58,0.585771570441107,0.359245904471216,0.0549825250876768,0.666362675976082,0.333637324023918,0.536874812428049,0.28474056601086,0.482419283849166,0.687399863679267,3,4,0.0231458790132901,0.483004713815692
"54911",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.483004713815692,0.58,4,4,0.0231458790132901,0.483004713815692
"58561",365,0.58,0.589858846574439,0.362087361364603,0.0480537920609581,0.637647464825502,0.362352535174498,0.52900981196629,0.301503500566348,0.484280759062213,0.735121306526168,4,4,0.0231458790132901,0.483004713815692
"12",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.377644650549633,0.58,1,1,0.0244114243758433,0.377644650549633
"3663",365,0.58,0.556592288483301,0.370779167722006,0.0726285437946931,0.712474694658168,0.287525305341832,0.526632531301036,0.257565548159568,0.377652492309415,0.58087746665152,1,1,0.0244114243758433,0.377644650549633
"3672",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.377644650549633,0.58,2,1,0.0244114243758433,0.377644650549633
"7322",365,0.58,0.60038310295962,0.339530203955057,0.0600866930853228,0.735497047801843,0.264502952198157,0.568063880800786,0.232183730039323,0.389107150404628,0.581015797277114,2,1,0.0244114243758433,0.377644650549633
"7332",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.377644650549633,0.58,3,1,0.0244114243758433,0.377644650549633
"10982",365,0.58,0.639993366753325,0.310973419196833,0.0490332140498422,0.75633016954988,0.24366983045012,0.605538433148245,0.20921489684504,0.401904525196652,0.581141783300661,3,1,0.0244114243758433,0.377644650549633
"10992",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.377644650549633,0.58,4,1,0.0244114243758433,0.377644650549633
"14642",365,0.58,0.675059631151411,0.285425312034432,0.0395150568141574,0.774780102413606,0.225219897586395,0.638712282555735,0.188872548990718,0.415881057855859,0.581252953149463,4,1,0.0244114243758433,0.377644650549633
"14652",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.377644650549633,0.58,1,2,0.0244114243758433,0.377644650549633
"18302",365,0.58,0.556592288483301,0.370779167722006,0.0726285437946931,0.712474694658168,0.287525305341832,0.526632531301036,0.257565548159568,0.377652492309415,0.58087746665152,1,2,0.0244114243758433,0.377644650549633
"18312",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.377644650549633,0.58,2,2,0.0244114243758433,0.377644650549633
"21962",365,0.58,0.571604676244297,0.36115503694586,0.0672402868098432,0.720358495912289,0.27964150408771,0.54084050920992,0.248877337053333,0.381853036877801,0.58095250637063,2,2,0.0244114243758433,0.377644650549633
"21972",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.377644650549633,0.58,3,2,0.0244114243758433,0.377644650549633
"25622",365,0.58,0.589672393529459,0.349385000098731,0.0609426063718107,0.729853448376392,0.270146551623608,0.557938578048801,0.23841273614295,0.387436966695548,0.581030211916942,3,2,0.0244114243758433,0.377644650549633
"25632",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.377644650549633,0.58,4,2,0.0244114243758433,0.377644650549633
"29282",365,0.58,0.617309826358691,0.330551010126386,0.0521391635149228,0.744388605412781,0.255611394587219,0.584088401517109,0.222389969745637,0.396819820962971,0.581122759514804,4,2,0.0244114243758433,0.377644650549633
"29292",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.377644650549633,0.58,1,3,0.0244114243758433,0.377644650549633
"32942",365,0.58,0.556592288483301,0.370779167722006,0.0726285437946931,0.712474694658168,0.287525305341832,0.526632531301036,0.257565548159568,0.377652492309415,0.58087746665152,1,3,0.0244114243758433,0.377644650549633
"32952",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.377644650549633,0.58,2,3,0.0244114243758433,0.377644650549633
"36602",365,0.58,0.514214078301502,0.419047158377566,0.0667387633209322,0.690210775185386,0.309789224814614,0.486532030653243,0.282107177166355,0.38371314154448,0.580723245704606,2,3,0.0244114243758433,0.377644650549633
"36612",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.377644650549633,0.58,3,3,0.0244114243758433,0.377644650549633
"40262",365,0.58,0.491208583403175,0.445087569383761,0.0637038472130637,0.678135556849314,0.321864443150686,0.464763170738586,0.295419030486096,0.387690320640046,0.58062895884148,3,3,0.0244114243758433,0.377644650549633
"40272",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.377644650549633,0.58,4,3,0.0244114243758433,0.377644650549633
