"","Scenario","Reduction","Lambda","pi","Outcome","Value"
"69","3","2","0.0196078431372549","0.35","IncidenceInfectionsGravesMr","1.87679722977622"
"70","3","2","0.0196078431372549","0.35","IncidenceInfectionsGravesAnsMr","1.69886593355755"
"71","3","3","0.0196078431372549","0.35","PropAns","0.529113046183157"
"72","3","3","0.0196078431372549","0.35","PropMr","0.334237209314716"
"73","3","3","0.0196078431372549","0.35","PropAnsMr","0.308620709537437"
"74","3","3","0.0196078431372549","0.35","IncidenceInfectionsGraves","6.25440772936418"
"75","3","3","0.0196078431372549","0.35","IncidenceInfectionsGravesAns","2.99789837123161"
"76","3","3","0.0196078431372549","0.35","IncidenceInfectionsGravesMr","1.92038958332247"
"77","3","3","0.0196078431372549","0.35","IncidenceInfectionsGravesAnsMr","1.74433477979082"
"78","3","4","0.0196078431372549","0.35","PropAns","0.56595535761714"
"79","3","4","0.0196078431372549","0.35","PropMr","0.353657267807635"
"80","3","4","0.0196078431372549","0.35","PropAnsMr","0.330041921442477"
"81","3","4","0.0196078431372549","0.35","IncidenceInfectionsGraves","6.3408906191657"
"82","3","4","0.0196078431372549","0.35","IncidenceInfectionsGravesAns","3.15459644267665"
"83","3","4","0.0196078431372549","0.35","IncidenceInfectionsGravesMr","2.00764974247164"
"84","3","4","0.0196078431372549","0.35","IncidenceInfectionsGravesAnsMr","1.8353930842787"
"85","4","1","0.0196078431372549","0.35","PropAns","0.471408240523812"
"86","4","1","0.0196078431372549","0.35","PropMr","0.303800950178308"
"87","4","1","0.0196078431372549","0.35","PropAnsMr","0.275050622894451"
"88","4","1","0.0196078431372549","0.35","IncidenceInfectionsGraves","6.1295703076469"
"89","4","1","0.0196078431372549","0.35","IncidenceInfectionsGravesAns","2.76876558570045"
"90","4","1","0.0196078431372549","0.35","IncidenceInfectionsGravesMr","1.79284069180881"
"91","4","1","0.0196078431372549","0.35","IncidenceInfectionsGravesAnsMr","1.61114488653975"
"92","4","2","0.0196078431372549","0.35","PropAns","0.455399759115183"
"93","4","2","0.0196078431372549","0.35","PropMr","0.324372563501651"
"94","4","2","0.0196078431372549","0.35","PropAnsMr","0.288207456382176"
"95","4","2","0.0196078431372549","0.35","IncidenceInfectionsGraves","6.107365280218"
"96","4","2","0.0196078431372549","0.35","IncidenceInfectionsGravesAns","2.70988157389573"
"97","4","2","0.0196078431372549","0.35","IncidenceInfectionsGravesMr","1.84796420082278"
"98","4","2","0.0196078431372549","0.35","IncidenceInfectionsGravesAnsMr","1.64476495523184"
"99","4","3","0.0196078431372549","0.35","PropAns","0.443808658593255"
"100","4","3","0.0196078431372549","0.35","PropMr","0.346645434731387"
"101","4","3","0.0196078431372549","0.35","PropAnsMr","0.301732201382107"
"102","4","3","0.0196078431372549","0.35","IncidenceInfectionsGraves","6.09605191461423"
"103","4","3","0.0196078431372549","0.35","IncidenceInfectionsGravesAns","2.66510991671519"
"104","4","3","0.0196078431372549","0.35","IncidenceInfectionsGravesMr","1.90950384450261"
"105","4","3","0.0196078431372549","0.35","IncidenceInfectionsGravesAnsMr","1.68193390361316"
"106","4","4","0.0196078431372549","0.35","PropAns","0.436555064099088"
"107","4","4","0.0196078431372549","0.35","PropMr","0.370986715804319"
"108","4","4","0.0196078431372549","0.35","PropAnsMr","0.315908661791145"
"109","4","4","0.0196078431372549","0.35","IncidenceInfectionsGraves","6.09543356231817"
"110","4","4","0.0196078431372549","0.35","IncidenceInfectionsGravesAns","2.63395078629597"
"111","4","4","0.0196078431372549","0.35","IncidenceInfectionsGravesMr","1.9784372734174"
"112","4","4","0.0196078431372549","0.35","IncidenceInfectionsGravesAnsMr","1.7233241164947"
"113","1","1","0.0196078431372549","0.52","PropAns","0.453914837247537"
"114","1","1","0.0196078431372549","0.52","PropMr","0.293638546173661"
"115","1","1","0.0196078431372549","0.52","PropAnsMr","0.26412184685497"
"116","1","1","0.0196078431372549","0.52","IncidenceInfectionsGraves","9.12091251072892"
"117","1","1","0.0196078431372549","0.52","IncidenceInfectionsGravesAns","4.04103394879693"
"118","1","1","0.0196078431372549","0.52","IncidenceInfectionsGravesMr","2.62198048763158"
"119","1","1","0.0196078431372549","0.52","IncidenceInfectionsGravesAnsMr","2.34819166788328"
"120","1","2","0.0196078431372549","0.52","PropAns","0.408484140272909"
"121","1","2","0.0196078431372549","0.52","PropMr","0.269729040140886"
"122","1","2","0.0196078431372549","0.52","PropAnsMr","0.23775298148017"
"123","1","2","0.0196078431372549","0.52","IncidenceInfectionsGraves","9.28464823349936"
"124","1","2","0.0196078431372549","0.52","IncidenceInfectionsGravesAns","3.90166747927611"
"125","1","2","0.0196078431372549","0.52","IncidenceInfectionsGravesMr","2.5575797089858"
"126","1","2","0.0196078431372549","0.52","IncidenceInfectionsGravesAnsMr","2.26743713596924"
"127","1","3","0.0196078431372549","0.52","PropAns","0.367173163111596"
"128","1","3","0.0196078431372549","0.52","PropMr","0.247977662622403"
"129","1","3","0.0196078431372549","0.52","PropAnsMr","0.213763425794645"
"130","1","3","0.0196078431372549","0.52","IncidenceInfectionsGraves","9.46050887460707"
"131","1","3","0.0196078431372549","0.52","IncidenceInfectionsGravesAns","3.77146633917214"
"132","1","3","0.0196078431372549","0.52","IncidenceInfectionsGravesMr","2.49863002766755"
"133","1","3","0.0196078431372549","0.52","IncidenceInfectionsGravesAnsMr","2.19197017590063"
"134","1","4","0.0196078431372549","0.52","PropAns","0.330481446077832"
"135","1","4","0.0196078431372549","0.52","PropMr","0.228650544202423"
"136","1","4","0.0196078431372549","0.52","PropAnsMr","0.192446339513155"
"137","1","4","0.0196078431372549","0.52","IncidenceInfectionsGraves","9.6476922031526"
"138","1","4","0.0196078431372549","0.52","IncidenceInfectionsGravesAns","3.65133099548064"
"139","1","4","0.0196078431372549","0.52","IncidenceInfectionsGravesMr","2.44556662704807"
"140","1","4","0.0196078431372549","0.52","IncidenceInfectionsGravesAnsMr","2.12231749441801"
"141","2","1","0.0196078431372549","0.52","PropAns","0.453914837247537"
"142","2","1","0.0196078431372549","0.52","PropMr","0.293638546173661"
"143","2","1","0.0196078431372549","0.52","PropAnsMr","0.26412184685497"
"144","2","1","0.0196078431372549","0.52","IncidenceInfectionsGraves","9.12091251072892"
"145","2","1","0.0196078431372549","0.52","IncidenceInfectionsGravesAns","4.04103394879693"
"146","2","1","0.0196078431372549","0.52","IncidenceInfectionsGravesMr","2.62198048763158"
"147","2","1","0.0196078431372549","0.52","IncidenceInfectionsGravesAnsMr","2.34819166788328"
"148","2","2","0.0196078431372549","0.52","PropAns","0.43756688356118"
"149","2","2","0.0196078431372549","0.52","PropMr","0.285045304741372"
"150","2","2","0.0196078431372549","0.52","PropAnsMr","0.254648161676702"
"151","2","2","0.0196078431372549","0.52","IncidenceInfectionsGraves","9.18185963818246"
"152","2","2","0.0196078431372549","0.52","IncidenceInfectionsGravesAns","3.99341082284832"
"153","2","2","0.0196078431372549","0.52","IncidenceInfectionsGravesMr","2.60029031416535"
"154","2","2","0.0196078431372549","0.52","IncidenceInfectionsGravesAnsMr","2.32066415851265"
"155","2","3","0.0196078431372549","0.52","PropAns","0.418099117533832"
"156","2","3","0.0196078431372549","0.52","PropMr","0.274804218979393"
"157","2","3","0.0196078431372549","0.52","PropAnsMr","0.243357083546027"
"158","2","3","0.0196078431372549","0.52","IncidenceInfectionsGraves","9.2622034641307"
"159","2","3","0.0196078431372549","0.52","IncidenceInfectionsGravesAns","3.93628531740693"
"160","2","3","0.0196078431372549","0.52","IncidenceInfectionsGravesMr","2.57463966151935"
"161","2","3","0.0196078431372549","0.52","IncidenceInfectionsGravesAnsMr","2.28761513557281"
"162","2","4","0.0196078431372549","0.52","PropAns","0.388914254933157"
"163","2","4","0.0196078431372549","0.52","PropMr","0.259438506749731"
"164","2","4","0.0196078431372549","0.52","PropAnsMr","0.226412842388825"
"165","2","4","0.0196078431372549","0.52","IncidenceInfectionsGraves","9.39516065719163"
"166","2","4","0.0196078431372549","0.52","IncidenceInfectionsGravesAns","3.84776733057463"
"167","2","4","0.0196078431372549","0.52","IncidenceInfectionsGravesMr","2.53530300651871"
"168","2","4","0.0196078431372549","0.52","IncidenceInfectionsGravesAnsMr","2.23633897611045"
"169","3","1","0.0196078431372549","0.52","PropAns","0.453914837247537"
"170","3","1","0.0196078431372549","0.52","PropMr","0.293638546173661"
"171","3","1","0.0196078431372549","0.52","PropAnsMr","0.26412184685497"
"172","3","1","0.0196078431372549","0.52","IncidenceInfectionsGraves","9.12091251072892"
"173","3","1","0.0196078431372549","0.52","IncidenceInfectionsGravesAns","4.04103394879693"
"174","3","1","0.0196078431372549","0.52","IncidenceInfectionsGravesMr","2.62198048763158"
"175","3","1","0.0196078431372549","0.52","IncidenceInfectionsGravesAnsMr","2.34819166788328"
"176","3","2","0.0196078431372549","0.52","PropAns","0.495863027230407"
"177","3","2","0.0196078431372549","0.52","PropMr","0.315706169821416"
"178","3","2","0.0196078431372549","0.52","PropAnsMr","0.288454065812155"
"179","3","2","0.0196078431372549","0.52","IncidenceInfectionsGraves","9.19811062225575"
"180","3","2","0.0196078431372549","0.52","IncidenceInfectionsGravesAns","4.25993658385514"
"181","3","2","0.0196078431372549","0.52","IncidenceInfectionsGravesMr","2.74131260819742"
"182","3","2","0.0196078431372549","0.52","IncidenceInfectionsGravesAnsMr","2.47515669330083"
"183","3","3","0.0196078431372549","0.52","PropAns","0.518758645471321"
"184","3","3","0.0196078431372549","0.52","PropMr","0.327739503343875"
"185","3","3","0.0196078431372549","0.52","PropAnsMr","0.30172350458796"
"186","3","3","0.0196078431372549","0.52","IncidenceInfectionsGraves","9.24040443301421"
"187","3","3","0.0196078431372549","0.52","IncidenceInfectionsGravesAns","4.37347560092501"
"188","3","3","0.0196078431372549","0.52","IncidenceInfectionsGravesMr","2.80330893836344"
"189","3","3","0.0196078431372549","0.52","IncidenceInfectionsGravesAnsMr","2.54099111598986"
"190","3","4","0.0196078431372549","0.52","PropAns","0.560406380926126"
"191","3","4","0.0196078431372549","0.52","PropMr","0.349625579145012"
"192","3","4","0.0196078431372549","0.52","PropAnsMr","0.325858301812431"
"193","3","4","0.0196078431372549","0.52","IncidenceInfectionsGraves","9.3225778043752"
"194","3","4","0.0196078431372549","0.52","IncidenceInfectionsGravesAns","4.59826278938802"
"195","3","4","0.0196078431372549","0.52","IncidenceInfectionsGravesMr","2.92593993817696"
"196","3","4","0.0196078431372549","0.52","IncidenceInfectionsGravesAnsMr","2.67130518123876"
"197","4","1","0.0196078431372549","0.52","PropAns","0.453914837247537"
"198","4","1","0.0196078431372549","0.52","PropMr","0.293638546173661"
"199","4","1","0.0196078431372549","0.52","PropAnsMr","0.26412184685497"
"200","4","1","0.0196078431372549","0.52","IncidenceInfectionsGraves","9.12091251072892"
